income_group,target_pop,hs_constraints,R0,Rt1,Rt2,tt_Rt1,tt_Rt2,tt_Rt1_stop,time_period,vaccine_doses,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,scenario
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,3,20,1,4,143
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,4,20,1,4,144
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,5,20,1,4,145
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,6,20,1,4,146
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,7,20,1,4,147
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,8,20,1,4,148
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,9,20,1,4,149
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,10,20,1,4,150
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,11,20,1,4,151
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,12,20,1,4,152
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,13,20,1,4,153
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,14,20,1,4,154
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,15,20,1,4,155
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,16,20,1,4,156
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,17,20,1,4,157
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,18,20,1,4,158
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,19,20,1,4,159
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,20,20,1,4,160
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,1,20,1,4,161
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,2,20,1,4,162
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,3,20,1,4,163
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,4,20,1,4,164
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,5,20,1,4,165
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,6,20,1,4,166
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,7,20,1,4,167
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,8,20,1,4,168
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,9,20,1,4,169
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,10,20,1,4,170
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,11,20,1,4,171
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,12,20,1,4,172
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,13,20,1,4,173
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,14,20,1,4,174
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,15,20,1,4,175
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,16,20,1,4,176
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,17,20,1,4,177
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,18,20,1,4,178
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,19,20,1,4,179
HIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,20,20,1,4,180
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,1,20,1,4,181
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,2,20,1,4,182
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,3,20,1,4,183
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,4,20,1,4,184
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,5,20,1,4,185
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,6,20,1,4,186
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,7,20,1,4,187
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,8,20,1,4,188
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,9,20,1,4,189
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,10,20,1,4,190
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,11,20,1,4,191
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,12,20,1,4,192
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,13,20,1,4,193
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,14,20,1,4,194
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,15,20,1,4,195
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,16,20,1,4,196
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,17,20,1,4,197
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,18,20,1,4,198
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,19,20,1,4,199
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0,1,360,1,20,20,1,4,200
