"","income_group","target_pop","hs_constraints","R0","Rt1","Rt2","tt_Rt1","tt_Rt2","tt_Rt1_stop","time_period","vaccine_doses","max_coverage","age_groups_covered","vacc_start","dt","repetition","seeding_cases","variant_fold_reduction","dose_3_fold_increase","scenario"
"85","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,5,20,4,6,85
"86","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,6,20,4,6,86
"87","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,7,20,4,6,87
"88","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,8,20,4,6,88
"89","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,9,20,4,6,89
"90","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,10,20,4,6,90
"91","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,1,20,4,6,91
"92","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,2,20,4,6,92
"93","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,3,20,4,6,93
"94","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,4,20,4,6,94
"95","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,5,20,4,6,95
"96","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,6,20,4,6,96
"97","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,7,20,4,6,97
"98","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,8,20,4,6,98
"99","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,9,20,4,6,99
"100","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,10,20,4,6,100
